run,draft_model_name,max_budget,gen_rate,speed,draft_iters,iters,input_0,input_1,mem_use,min_CLP,min_log_prob,new_tokens,prompt_len,t0,t1,tft,tree_h,tree_size,tree_w
4,Qwen/Qwen2.5-3B,256,8.0,1.74,14.0,2,954,257,45.53,-6.2,,16,123,3.735,0.87,4.2496,12.5,256,51
4,Qwen/Qwen2.5-3B,512,4.9,1.25,8.3,7,1100,513,47.02,-9.56,,34,123,2.46,1.4114,3.0763,6.0,512,237
4,Qwen/Qwen2.5-3B,1024,10.7,0.88,27.3,3,4340,1025,50.08,-7.39,,32,123,9.8333,2.3,10.894,17.3,1024,115
5,Qwen/Qwen2.5-0.5B,16,6.8,6.81,10.0,5,47,17,36.26,-2.83,,34,555,0.686,0.314,2.3089,9.0,16,3
5,Qwen/Qwen2.5-0.5B,32,5.0,5.48,8.6,7,86,33,36.35,-3.95,,35,555,0.5886,0.3214,2.9338,7.6,32,8
5,Qwen/Qwen2.5-0.5B,64,4.7,4.65,9.3,7,155,65,36.54,-4.64,,33,555,0.6443,0.37,3.2653,8.3,64,15
5,Qwen/Qwen2.5-0.5B,128,9.2,5.19,15.5,4,435,129,36.9,-5.35,,37,555,1.1075,0.675,3.4125,14.5,128,19
5,Qwen/Qwen2.5-0.5B,256,6.3,3.33,13.2,6,771,257,37.67,-6.17,,38,555,1.01,0.89,3.8574,12.0,256,47
5,Qwen/Qwen2.5-0.5B,512,5.4,2.54,8.3,7,1131,513,39.14,-11.12,,38,555,0.6914,1.4414,2.6046,6.1,512,250
5,Qwen/Qwen2.5-0.5B,1024,7.6,1.75,21.8,5,3175,1025,42.18,-7.71,,38,555,1.848,2.49,6.3877,14.0,1024,174
5,Qwen/Qwen2.5-0.5B,2048,8.0,0.89,32.0,4,7314,2049,48.2,-8.6,,32,555,3.1,5.92,9.965,10.2,2048,369
5,Qwen/Qwen2.5-1.5B,16,6.8,5.72,11.0,5,48,17,43.32,-2.64,,34,555,0.9,0.288,2.5666,10.0,16,2
5,Qwen/Qwen2.5-1.5B,32,5.0,4.93,8.1,7,97,33,43.42,-3.8,,35,555,0.7043,0.3086,3.3335,7.1,32,9
5,Qwen/Qwen2.5-1.5B,64,6.0,4.25,11.7,6,198,65,43.6,-4.49,,36,555,1.075,0.3367,4.0922,10.7,64,12
5,Qwen/Qwen2.5-1.5B,128,12.7,5.27,15.0,3,449,129,43.97,-5.2,,38,555,1.7567,0.6467,4.6716,14.0,128,24
5,Qwen/Qwen2.5-1.5B,256,8.8,3.04,14.2,4,748,257,44.72,-6.05,,35,555,1.9875,0.8875,5.6814,13.0,256,43
5,Qwen/Qwen2.5-1.5B,512,8.4,2.54,11.0,5,1433,513,46.2,-10.73,,42,555,1.864,1.444,3.5303,8.4,512,225
5,Qwen/Qwen2.5-1.5B,1024,8.8,1.3,23.6,5,3888,1025,49.24,-7.52,,44,555,4.346,2.4,10.0821,15.2,1024,168
5,Qwen/Qwen2.5-1.5B,2048,9.0,0.7,32.0,4,8217,2049,55.28,-8.84,,36,555,7.1225,5.7675,14.4527,9.2,2048,454
5,Qwen/Qwen2.5-3B,16,6.0,3.69,9.8,6,48,17,46.67,-2.49,,36,555,1.3317,0.2983,4.1316,8.8,16,2
5,Qwen/Qwen2.5-3B,32,4.9,3.08,9.3,7,91,33,46.76,-3.89,,34,555,1.2714,0.3057,4.8305,8.3,32,7
5,Qwen/Qwen2.5-3B,64,9.8,4.71,10.8,4,204,65,46.96,-4.35,,39,555,1.7375,0.3325,5.8737,9.8,64,13
5,Qwen/Qwen2.5-3B,128,6.4,1.94,12.4,5,398,129,47.33,-5.25,,32,555,2.652,0.65,7.1214,11.4,128,24
5,Qwen/Qwen2.5-3B,256,12.0,2.56,15.0,3,873,257,48.09,-6.05,,36,555,3.7933,0.8933,9.0801,13.7,256,41
5,Qwen/Qwen2.5-3B,512,5.5,1.47,7.7,6,1088,513,49.58,-12.12,,33,555,2.305,1.4433,4.9157,5.5,512,279
5,Qwen/Qwen2.5-3B,1024,13.0,0.95,30.3,3,5563,1025,52.64,-8.25,,39,555,11.35,2.3367,16.7306,17.0,1024,166
6,Qwen/Qwen2.5-0.5B,16,5.8,7.08,7.7,6,44,17,36.83,-3.11,,35,655,0.5233,0.3,2.3471,6.7,16,4
6,Qwen/Qwen2.5-0.5B,32,6.4,6.29,10.2,5,97,33,36.92,-3.61,,32,655,0.688,0.33,2.3951,9.2,32,6
6,Qwen/Qwen2.5-0.5B,64,5.3,4.38,12.3,6,185,65,37.11,-4.47,,32,655,0.8467,0.3717,2.4991,11.3,64,12
6,Qwen/Qwen2.5-0.5B,128,10.7,5.77,16.3,3,511,129,37.5,-5.55,,32,655,1.17,0.6767,3.0691,15.3,128,22
6,Qwen/Qwen2.5-0.5B,256,11.0,4.91,18.0,4,903,257,38.24,-6.42,,44,655,1.345,0.9,3.4224,16.8,256,41
6,Qwen/Qwen2.5-0.5B,512,5.3,2.41,9.0,6,1351,513,39.73,-9.02,,32,655,0.76,1.4517,2.9945,6.7,512,225
6,Qwen/Qwen2.5-0.5B,1024,7.2,1.6,24.0,5,3600,1025,42.77,-7.75,,36,655,2.016,2.494,6.4176,15.6,1024,180
6,Qwen/Qwen2.5-0.5B,2048,8.2,0.9,32.0,4,8151,2049,48.78,-10.38,,33,655,3.2125,5.935,10.0629,10.0,2048,409
6,Qwen/Qwen2.5-1.5B,16,5.7,4.91,10.2,6,53,17,43.9,-2.88,,34,655,0.86,0.295,2.9605,9.2,16,3
6,Qwen/Qwen2.5-1.5B,32,6.4,4.44,13.2,5,124,33,44.0,-3.42,,32,655,1.124,0.314,3.2004,12.2,32,5
6,Qwen/Qwen2.5-1.5B,64,7.0,4.78,12.8,5,189,65,44.18,-4.33,,35,655,1.132,0.332,3.5702,11.8,64,11
6,Qwen/Qwen2.5-1.5B,128,7.4,3.25,14.0,5,419,129,44.55,-5.3,,37,655,1.632,0.648,4.1071,13.0,128,22
6,Qwen/Qwen2.5-1.5B,256,11.0,3.27,18.7,3,903,257,45.3,-5.77,,33,655,2.48,0.8867,5.0856,17.7,256,29
6,Qwen/Qwen2.5-1.5B,512,7.0,2.07,12.2,5,1410,513,46.79,-9.81,,35,655,1.936,1.45,4.0617,9.6,512,211
6,Qwen/Qwen2.5-1.5B,1024,9.8,1.2,31.2,4,4804,1025,49.84,-7.29,,39,655,5.725,2.405,10.3985,22.0,1024,101
6,Qwen/Qwen2.5-1.5B,2048,8.2,0.64,32.0,4,8535,2049,55.87,-9.28,,33,655,7.24,5.6875,16.1325,9.5,2048,374
6,Qwen/Qwen2.5-3B,16,5.3,3.7,8.5,6,45,17,47.26,-3.27,,32,655,1.1483,0.2933,4.1827,7.5,16,3
6,Qwen/Qwen2.5-3B,32,8.0,4.03,12.0,4,117,33,47.35,-3.42,,32,655,1.675,0.3075,4.8514,11.0,32,5
6,Qwen/Qwen2.5-3B,64,9.5,4.18,12.8,4,222,65,47.55,-4.19,,38,655,1.9375,0.3325,5.3053,11.8,64,10
6,Qwen/Qwen2.5-3B,128,9.2,2.68,15.0,5,365,129,47.92,-5.05,,46,655,2.774,0.664,6.2993,14.0,128,20
6,Qwen/Qwen2.5-3B,256,16.5,2.7,21.0,2,1131,257,48.68,-6.08,,33,655,5.205,0.895,8.1928,19.5,256,34
6,Qwen/Qwen2.5-3B,512,10.7,1.67,16.7,3,1661,513,50.17,-8.18,,32,655,4.9533,1.44,5.6122,13.7,512,140
